Date,Player,MatchId,Map,Category,Playlist,Input,Queue,Csr,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,Kills,Deaths,Assists,Betrayals,Suicides,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2023-11-09 07:20:51",eArL694412,ecf11533-36ee-46ff-87d4-7f01dff6cf73,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,977,,Left,54.17,2466,2251,96,52,44,0.71,-1.00,5,7,3,0,0,4,8,875,0,1,434
"2023-11-09 07:27:45",eArL694412,13ae4411-1b12-4827-8a1f-9e57b436965e,Solitude,Slayer,"Ranked Arena",CrossPlay,Open,970,,Win,51.6,4288,3410,188,97,91,1.20,4.00,12,10,6,0,0,12,12,1500,0,4,530
"2023-11-09 07:41:43",eArL694412,ec3fd265-b167-4226-9ecc-58558a86144d,Aquarius,"CTF 5 Captures","Ranked Arena",CrossPlay,Open,978,,Loss,47.2,6251,5459,286,135,151,1.25,6.66,20,16,8,0,0,15,17,3045,0,8,760
"2023-11-10 04:14:17",eArL694412,5c5335f1-1153-4f2a-91be-f1589d44a71f,Empyrean,"CTF 3 Captures","Ranked Arena",CrossPlay,Open,971,,Loss,55.04,6176,6038,238,131,107,1.11,4.33,20,18,7,0,0,14,16,2685,0,4,744
"2023-11-10 04:29:48",eArL694412,4445fbc0-b6c4-4725-be58-c5bf406de912,Recharge,Extraction,"Ranked Arena",CrossPlay,Open,964,,Loss,59.09,5166,3223,198,117,81,1.20,5.33,12,10,10,0,0,12,12,2185,0,8,526
"2023-11-10 04:39:31",eArL694412,8a8d4e28-583c-4777-962f-8a7433dcc3d9,Streets,Extraction,"Ranked Arena",CrossPlay,Open,957,,Win,57.52,6190,3552,226,130,96,2.40,17.66,24,10,11,0,0,14,13,3935,0,12,577
"2023-11-10 04:50:42",eArL694412,d2728886-a332-43fc-af60-09172fbd896d,Solitude,Slayer,"Ranked Arena",CrossPlay,Open,967,,Loss,54.42,5707,3786,226,123,103,1.27,5.66,14,11,8,0,0,12,12,1800,0,5,549
"2023-11-12 02:00:58",eArL694412,1c1eddb0-c09d-4615-8995-b5daeed22317,Streets,Slayer,"Ranked Arena",CrossPlay,Open,960,,Left,66.67,140,231,6,4,2,0.00,-1.00,0,1,0,0,0,0,3,0,0,0,304
"2023-11-12 02:04:06",eArL694412,a20bfe58-4c44-4d86-a004-3450dfd48d27,"Live Fire","King of the Hill","Ranked Arena",CrossPlay,Open,955,,Win,53.63,4380,4291,179,96,83,0.87,-1.00,13,15,3,0,0,16,14,1950,0,4,565
"2023-11-12 02:14:21",eArL694412,8b5c7461-828e-4136-a591-8e80e9b35790,Streets,Oddball,"Ranked Arena",CrossPlay,Open,964,,Win,50.85,9450,7263,413,210,203,1.53,18.00,29,19,24,0,0,25,25,4805,0,11,1033
"2023-11-13 01:16:17",eArL694412,cb531dc1-229e-403a-8ac0-ff342ca7d026,Solitude,Strongholds,"Ranked Arena",CrossPlay,Open,973,,Loss,54.72,6770,6114,307,168,139,0.94,4.66,15,16,17,0,0,19,19,2950,0,5,828
"2023-11-13 01:31:24",eArL694412,a2901620-e457-4fd3-b11d-cd10e318c6d4,Streets,Extraction,"Ranked Arena",CrossPlay,Open,965,,Left,66.67,364,511,15,10,5,0.00,-1.66,0,2,1,0,0,0,3,50,0,0,271
"2023-11-13 01:33:56",eArL694412,c612a712-51b5-4632-a7a2-c7c6cd0610fe,Streets,Slayer,"Ranked Arena",CrossPlay,Open,960,,Win,55.83,5871,3233,240,134,106,1.75,9.66,14,8,11,0,0,12,12,1990,0,7,526
"2023-11-13 02:29:59",eArL694412,d7f82d46-dfac-46e0-be2c-5a56fbdcf4da,Argyle,"CTF 3 Captures","Ranked Arena",CrossPlay,Open,969,,Loss,58.74,3961,2309,143,84,59,1.43,3.33,10,7,1,1,0,8,9,950,0,5,427
